so_simple--[2024-03-27 14:53:32.385561] , Network: rand_20, Trip Size: 1041, Average Time: 338.345, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1721
ue_simple--[2024-03-27 14:54:32.289668] , Network: rand_20, Trip Size: 1041, Average Time: 320.703, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1553
so_simple--[2024-03-27 14:55:50.423879] , Network: rand_20, Trip Size: 1042, Average Time: 292.856, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1643
ue_simple--[2024-03-27 14:56:57.945593] , Network: rand_20, Trip Size: 1042, Average Time: 306.964, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1661
so_simple--[2024-03-27 14:58:22.963227] , Network: rand_20, Trip Size: 1043, Average Time: 320.363, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1732
ue_simple--[2024-03-27 14:59:35.775717] , Network: rand_20, Trip Size: 1043, Average Time: 395.212, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1865
so_simple--[2024-03-27 15:00:48.159536] , Network: rand_20, Trip Size: 1044, Average Time: 282.822, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1554
ue_simple--[2024-03-27 15:01:51.662527] , Network: rand_20, Trip Size: 1044, Average Time: 360.5, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1770
so_simple--[2024-03-27 15:03:05.151544] , Network: rand_20, Trip Size: 1045, Average Time: 298.738, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1602
ue_simple--[2024-03-27 15:04:05.659808] , Network: rand_20, Trip Size: 1045, Average Time: 313.116, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1658
so_simple--[2024-03-27 15:05:22.303399] , Network: rand_20, Trip Size: 1046, Average Time: 258.631, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1594
ue_simple--[2024-03-27 15:06:26.692047] , Network: rand_20, Trip Size: 1046, Average Time: 317.063, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1702
so_simple--[2024-03-27 15:07:39.491484] , Network: rand_20, Trip Size: 1047, Average Time: 283.089, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1689
ue_simple--[2024-03-27 15:08:40.341958] , Network: rand_20, Trip Size: 1047, Average Time: 346.257, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1748
so_simple--[2024-03-27 15:09:54.826465] , Network: rand_20, Trip Size: 1048, Average Time: 311.712, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1734
ue_simple--[2024-03-27 15:10:54.346414] , Network: rand_20, Trip Size: 1048, Average Time: 328.62, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1684
so_simple--[2024-03-27 15:12:07.929823] , Network: rand_20, Trip Size: 1049, Average Time: 283.299, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1773
ue_simple--[2024-03-27 15:13:10.304893] , Network: rand_20, Trip Size: 1049, Average Time: 327.945, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1743
